file,tags
object-oriented-learning-journeyblog_draftbusiness_context_driven_carrental_c_sharp_en.md at main · andreas-wagner-devobject-oriented-learning-journey · GitHub,clean-architecture context-engineering ddd
pi-ai · pi-coding-agent · pi-tui,agent-skills context-engineering harness-engineering
pi-remote-agent,harness-engineering multi-agent
"rtk-airtk CLI proxy that reduces LLM token consumption by 60-90% on common dev commands. Single Rust binary, zero dependencies",context-engineering token-efficiency
skillsgreploopSKILL.md at main · greptileaiskills,code-review
skillsgrill-meSKILL.md at main · mattpocockskills,agent-skills evals
speaches-aispeaches,local-llm voice-ai
steel-devsteel-browser 🔥 Open Source Browser API for AI Agents & Apps. Steel Browser is a batteries-included browser sandbox that lets you automate the web without worrying about infrastructure.,agent-testing harness-engineering
stride-nycohl-agent ReAct agent with MCP for OneHealthLink agent escalation,agent-memory harness-engineering health mcp startup
swingermandisciplined-agentic-engineering Acceptance Test Driven Development for Claude Code — inspired by Uncle Bob's approach from empire-2025,agent-testing claude-code-ops code-quality code-review harness-engineering software-patterns spec-driven-dev
system-prompts-and-models-of-ai-toolsLovableAgent Prompt.txt at main · x1xhlolsystem-prompts-and-models-of-ai-tools,alt-agents harness-engineering ux-ui-design
tirth8205code-review-graph Local knowledge graph for Claude Code. Builds a persistent map of your codebase so Claude reads only what matters — 6.8× fewer tokens on reviews and up to 49× on daily coding tasks.,claude-code-ops code-intelligence code-review context-engineering spec-driven-dev
"truecourse-aitruecourse AI-powered architecture analysis and code intelligence. Detects circular deps, layer violations, dead modules, and more. Web UI + CLI.",frontend-webapp web-security
vercel-labsopensrc Fetch source code for npm packages to give AI coding agents deeper context,context-engineering harness-engineering
"web-infra-devmidscene AI-powered, vision-driven UI automation for every platform.",browser-automation cost-optimization frontend-webapp
"x1xhlolsystem-prompts-and-models-of-ai-tools FULL Augment Code, Claude Code, Cluely, CodeBuddy, Comet, Cursor, Devin AI, Junie, Kiro, Leap.new, Lovable, Manus, NotionAI, Orchids.app, Perplexity, Poke, Qoder, Replit, Same.dev, Trae, Traycer AI, VSCode",alt-agents claude-code-ops spec-driven-dev startup web-security
